x:0,y:0
-5.12,-0.499999847
-5.02,-0.499999742
-4.92,-0.499999567
-4.82,-0.499999282
-4.72,-0.499998821
-4.62,-0.499998081
-4.52,-0.499996908
-4.42,-0.499995065
-4.32,-0.499992199
-4.22,-0.499987785
-4.12,-0.499981056
-4.02,-0.499970901
-3.92,-0.499955726
-3.82,-0.499933274
-3.72,-0.499900389
-3.62,-0.499852698
-3.52,-0.499784227
-3.42,-0.499686894
-3.32,-0.499549913
-3.22,-0.499359047
-3.12,-0.499095745
-3.02,-0.498736127
-2.92,-0.498249843
-2.82,-0.497598818
-2.72,-0.496735904
-2.62,-0.495603512
-2.52,-0.494132258
-2.42,-0.492239746
-2.32,-0.489829561
-2.22,-0.486790616
-2.12,-0.482996977
-2.02,-0.478308306
-1.92,-0.47257105
-1.82,-0.465620498
-1.72,-0.457283779
-1.62,-0.447383862
-1.52,-0.435744512
-1.42,-0.422196159
-1.32,-0.406582491
-1.22,-0.388767563
-1.12,-0.368643119
-1.02,-0.34613577
-0.92,-0.32121362
-0.82,-0.293891946
-0.72,-0.264237502
-0.62,-0.232371107
-0.52,-0.198468212
-0.42,-0.162757273
-0.32,-0.125515835
-0.22,-0.087064423
-0.12,-0.047758426
-0.02,-0.007978314
0.08,0.031881372
0.18,0.071423716
0.28,0.110261248
0.38,0.148027292
0.48,0.184386303
0.58,0.219042691
0.68,0.25174777
0.78,0.282304562
0.88,0.310570345
0.98,0.336456941
1.08,0.35992891
1.18,0.380999893
1.28,0.399727432
1.38,0.416206678
1.48,0.430563377
1.58,0.442946567
1.68,0.453521342
1.78,0.46246202
1.88,0.469945961
1.98,0.476148236
2.08,0.481237234
2.18,0.485371269
2.28,0.488696156
2.38,0.491343681
2.48,0.493430881
2.58,0.495059984
2.68,0.496318892
2.78,0.497282055
2.88,0.498011624
2.98,0.498558758
3.08,0.498964997
3.18,0.499263625
3.28,0.499480965
3.38,0.499637571
3.48,0.499749293
3.58,0.499828203
3.68,0.499883383
3.78,0.499921586
3.88,0.499947772
3.98,0.499965542
4.08,0.499977482
4.18,0.499985425
4.28,0.499990655
4.38,0.499994066
4.48,0.499996268
4.58,0.499997675
4.68,0.499998566
4.78,0.499999124
4.88,0.49999947
4.98,0.499999682
5.08,0.499999811
