x0,y0
581,49030718.25
52,35135
-310,-7447767
978,233860321
-626,-61328611
-778,-117727755
203,2091339.75
-144,-746513
-220,-2662017
510,33162733
-702,-86487119
138,657001
632,63108975
8,111
-984,-238190993
721,93701323.25
93,201072.25
-959,-220493536.8
-197,-1911360.25
371,12766185.75
442,21587705
432,20155375
694,83563829
-119,-421306.75
-908,-187153345
-75,-105485.75
-55,-41610.75
709,89100190.25
-557,-43202190.25
-137,-642855.25
111,341890.75
353,10996727.25
-74,-101323
-73,-97271.25
-373,-12973796.25
-266,-4705291
862,160125965
-447,-22328672.75
-217,-2554595.25
-843,-149769293.8
-440,-21296017
-766,-112363791
-434,-20436643
-869,-164058744.3
-531,-37430339.75
-228,-2963105
-533,-37854876.25
-491,-29592709.75
-563,-44613403.75
435,20578201.75
-690,-82127267
630,62511733
633,63409017.25
-881,-170949477.3
-326,-8661511
-159,-1004936.75
37,12646.25
-32,-8209
-526,-36382911
352,10903535
186,1608697
-179,-1433851.75
874,166906889
600,53999983
111,341890.75
266,4705257
-40,-16017
744,102957679
869,164058710.3
372,12869695
-769,-113689169.3
335,9398826.75
-829,-142430714.3
887,174466008.8
942,208974205
874,166906889
204,2122399
-340,-9826017
384,14155759
-842,-149236939
932,202389375
854,155708949
-632,-63109009
-703,-86857248.75
880,170367983
-574,-47279823
450,22781233
220,2661983
563,44613369.75
-726,-95664311
405,16607514.25
-419,-18390031.75
399,15880282.75
-389,-14715984.25
824,139869039
243,3587209.75
-852,-154617569
674,76545489
892,177433055
174,1316989
-869,-164058744.3
-70,-85767
734,98861709
373,12973762.25
-81,-132877.25
305,7093139.25
339,9739537.75
981,236019018.3
309,7375890.25
-778,-117727755
-596,-52927201
-924,-197222273
134,601509
-273,-5086621.25
-253,-4048586.25
536,38497647
647,67709988.75
-126,-500111
-740,-101306017
-669,-74854594.25
-715,-91381485.75
348,10536031
701,86118008.25
-862,-160125999
-1,-17.25
32,8175
-44,-21313
-560,-43904017
-435,-20578235.75
630,62511733
-707,-88348327.75
-542,-39805039
735,99266326.75
-188,-1661185
24,3439
-300,-6750017
-457,-23861015.25
-908,-187153345
785,120934139.3
846,151373917
-309,-7375924.25
408,16979311
-396,-15524801
